isbn,titulo,autores,editorial,fecha_publicacion,categorias,descripcion,portada,fuente,ubicacion,estanteria,balda,estado,notas,fecha_alta
9788467033359,Melocotón en almíbar,Miguel Mihura,Espasa,2010,Sin categoría,Sin descripción,https://covers.openlibrary.org/b/isbn/9788467033359-L.jpg,Open Library,,,,Sin especificar,,2026-05-06 01:42:17
9788445073728,La comunidad del anillo,Autor desconocido,"Minotauro, MINOTAURO",2004,Sin categoría,Sin descripción,https://covers.openlibrary.org/b/isbn/9788445073728-L.jpg,Open Library,,,,Sin especificar,,2026-05-06 01:46:41
9788467033434,Romeo y Julieta,"William Shakespeare, Ángel-Luis Pujante (translator)",Austral,"May 06, 2010",Sin categoría,Sin descripción,https://covers.openlibrary.org/b/isbn/9788467033434-L.jpg,Open Library,,,,Sin especificar,,2026-05-06 01:46:48
9788420651361,La metamorfosis,Franz Kafka,Alianza Editorial,"Apr 11, 2011",Sin categoría,Sin descripción,https://covers.openlibrary.org/b/isbn/9788420651361-L.jpg,Open Library,,,,Sin especificar,,2026-05-06 01:46:55
9788437604183,Pedro Páramo,Juan Rulfo,Cátedra,1983,Mexico -- Fiction,Sin descripción,https://covers.openlibrary.org/b/isbn/9788437604183-L.jpg,Open Library,,,,Sin especificar,,2026-05-06 01:47:03
9788427202122,Los juegos del hambre,Autor desconocido,Molino,2012,Sin categoría,Sin descripción,https://covers.openlibrary.org/b/isbn/9788427202122-L.jpg,Open Library,,,,Sin especificar,,2026-05-06 01:47:10
9788499890951,Rebelión en la granja,George Orwell,Debolsillo,2013,"Animales domésticos, Totalitarianism, Ficción, Fiction, Totalitarismo, Domestic animals","""Esta sátira de la Revolución Rusa y el triunfo del estalinismo, escrita en 1945, se ha convertido por derecho propio en un hito de la cultura contemporánea y en uno de los libros más mordaces de todos los tiempos. Ante el auge de los animales de la Granja Solariega, pronto detectamos las semillas del totalitarismo en una organización aparentemente ideal; y en nuestros líderes más carismáticos, la sombra de los opresores más crueles"". (Editorial)",https://covers.openlibrary.org/b/isbn/9788499890951-L.jpg,Open Library,,,,Sin especificar,,2026-05-06 02:05:10
9788420651262,El factor diseño,Autor desconocido,Alianza editorial,2011,Sin categoría,Sin descripción,https://covers.openlibrary.org/b/isbn/9788420651262-L.jpg,Open Library,,,,Sin especificar,,2026-05-06 02:05:43
9788497592451,Ensayo sobre la ceguera / Blindness,José Saramago,Debolsillo,"Jan 26, 2016",Sin categoría,Sin descripción,https://covers.openlibrary.org/b/isbn/9788497592451-L.jpg,Open Library,,,,Sin especificar,,2026-05-06 02:07:09
9788490628720,Ensayo sobre la ceguera / Blindness,José Saramago,Debolsillo,"Jan 26, 2016",Sin categoría,Sin descripción,https://covers.openlibrary.org/b/isbn/9788490628720-L.jpg,Open Library,,,,Sin especificar,,2026-05-06 02:07:13
